sitios,fecha,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
Canal Villanueva y Río Luján,2023-02-22,Verano,26.0,24.0,6.59,7.24,Ausencia,Ausencia,Ausencia,Presencia,600.0,100.0,130.0,3.9,0.05,0.26,0.1,2.0,30.0,29.0,0.1,0.005,0.001,0.87,0.15,53.0,Muy deteriorada 
Canal Villanueva y Río Luján,2023-05-10,otoño,18.0,12.0,7.09,7.22,Ausencia,Ausencia,Ausencia,Ausencia,3200.0,2200.0,770.0,3.9,0.3,0.16,0.15,2.0,30.0,45.0,0.1,0.005,1.0,2.56,0.15,39.0,Extremadamente deteriorada
Canal Villanueva y Río Luján,2023-08-23,invierno,16.3,11.0,8.53,7.27,Ausencia,Ausencia,Ausencia,Presencia,240.0,200.0,300.0,4.2,0.19,0.57,0.2,2.0,30.0,38.0,0.1,0.005,0.001,1.02,0.15,48.0,Muy deteriorada
Canal Villanueva y Río Luján,2023-11-14,primavera,23.0,25.0,4.72,6.57,Ausencia,Ausencia,Ausencia,Ausencia,200.0,180.0,290.0,3.3,0.13,0.12,0.2,2.0,30.0,24.0,0.1,0.005,0.001,10.0,0.15,42.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-02-22,Verano,26.8,25.0,5.94,6.96,Ausencia,Ausencia,Ausencia,Presencia,1000.0,400.0,1.5,5.2,0.25,0.16,0.11,2.1,30.0,24.0,0.1,0.005,0.001,10.61,0.21,39.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-05-10,otoño,18.0,12.0,7.12,7.22,Ausencia,Ausencia,Ausencia,Presencia,300.0,1100.0,300.0,6.7,0.13,0.11,0.1,2.0,30.0,60.0,0.1,0.005,1.0,0.67,0.15,38.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-08-23,invierno,15.0,11.0,6.88,7.13,Ausencia,Ausencia,Presencia,Presencia,15000.0,8300.0,5000.0,6.3,0.72,0.21,0.2,2.0,38.0,37.0,0.1,0.005,0.001,1.81,0.16,34.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-11-14,primavera,22.0,25.0,2.62,6.49,Ausencia,Ausencia,Ausencia,Presencia,2000.0,400.0,800.0,2.0,0.25,0.14,0.2,2.0,43.0,11.0,0.1,0.005,0.001,10.0,0.15,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-02-22,Verano,27.6,24.0,6.14,6.88,Ausencia,Ausencia,Ausencia,Presencia,2000.0,1000.0,100.0,3.5,2.2,0.41,0.36,4.1,30.0,21.0,0.1,0.005,0.001,16.87,2.98,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-05-10,otoño,18.0,12.0,6.16,7.33,Ausencia,Ausencia,Ausencia,Ausencia,5.0,3.0,200.0,4.2,0.86,0.21,0.2,2.0,30.0,45.0,0.1,0.005,1.0,0.1,0.15,37.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-08-23,invierno,15.2,11.0,5.97,7.13,Ausencia,Ausencia,Ausencia,Presencia,23000.0,19000.0,3000.0,15.2,2.9,2.0,0.46,3.8,36.0,45.0,0.1,6.0,0.001,7.51,0.15,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-11-14,primavera,26.0,25.0,4.31,6.71,Ausencia,Ausencia,Ausencia,Ausencia,4000.0,600.0,400.0,2.7,2.0,0.26,0.2,3.0,30.0,13.0,0.1,0.005,0.001,10.7,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-02-22,Verano,26.1,25.0,5.02,6.82,Ausencia,Ausencia,Ausencia,Presencia,6000.0,500.0,220.0,3.9,0.56,0.23,0.17,2.2,30.0,28.0,0.1,0.005,0.001,10.89,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-05-10,otoño,18.0,12.0,6.08,7.32,Ausencia,Ausencia,Presencia,Ausencia,4000.0,2.9,640.0,4.8,0.99,0.18,0.17,2.0,30.0,50.0,0.1,0.005,1.0,0.1,0.15,35.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-08-23,invierno,15.1,11.0,5.75,7.19,Presencia,Ausencia,Ausencia,Ausencia,11000.0,5200.0,1400.0,15.7,3.5,0.36,0.34,4.3,37.0,39.0,0.1,0.005,0.001,5.99,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-11-14,primavera,21.0,25.0,2.98,6.49,Ausencia,Ausencia,Ausencia,Presencia,1000.0,400.0,900.0,2.0,1.0,0.14,0.2,2.0,40.0,24.0,0.1,0.005,0.001,10.0,0.15,33.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-02-22,Verano,25.9,24.0,5.28,6.69,Ausencia,Presencia,Ausencia,Presencia,15000.0,3200.0,560.0,4.3,1.5,0.44,0.25,3.3,30.0,24.0,0.1,0.005,0.001,8.57,0.15,34.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-05-10,otoño,18.0,12.0,5.85,7.06,Ausencia,Ausencia,Ausencia,Ausencia,2.0,1.5,250.0,5.3,0.49,0.19,0.18,2.0,30.0,45.0,0.1,0.005,1.0,0.35,0.15,40.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-08-23,invierno,15.3,11.0,5.36,7.13,Presencia,Presencia,Presencia,Presencia,4000.0,3600.0,1500.0,18.6,4.0,1.3,0.53,4.3,40.0,29.0,0.1,0.005,0.001,4.54,0.15,30.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-11-14,primavera,23.0,25.0,2.01,6.67,Ausencia,Ausencia,Ausencia,Presencia,19000.0,18000.0,5700.0,2.3,2.6,0.44,0.2,4.7,30.0,8.7,0.1,0.005,0.001,10.0,0.15,33.0,Extremadamente deteriorada
Rio Tigre 100m antes del Rio Luján,2023-02-22,Verano,25.2,24.0,5.02,6.4,Ausencia,Presencia,Ausencia,Presencia,2000.0,1100.0,100.0,7.3,3.8,0.5,0.4,4.3,30.0,20.0,0.1,0.005,0.001,18.37,0.15,31.0,Extremadamente deteriorada
Rio Tigre 100m antes del Rio Luján,2023-05-10,otoño,19.0,11.0,5.26,7.05,Ausencia,Ausencia,Ausencia,Ausencia,41.0,20.0,9300.0,9.6,3.0,0.31,0.3,3.6,30.0,45.0,0.1,0.005,1.0,1.31,0.15,35.0,Extremadamente deteriorada
Rio Tigre 100m antes del Rio Luján,2023-08-23,invierno,15.3,10.0,4.13,7.17,Presencia,Presencia,Ausencia,Presencia,6000.0,4100.0,2000.0,23.1,5.2,0.9,0.64,5.6,38.0,26.0,0.1,7.0,0.001,7.24,0.15,29.0,Extremadamente deteriorada
Rio Tigre 100m antes del Rio Luján,2023-11-14,primavera,23.0,24.0,2.67,6.62,Presencia,Ausencia,Ausencia,Presencia,15000.0,13000.0,3000.0,2.3,7.5,0.95,0.34,5.7,53.0,20.0,0.1,0.0,0.001,30.0,0.15,30.0,Extremadamente deteriorada
Río Lujan y Canal San Fernando,2023-02-22,Verano,29.4,29.0,3.45,6.83,Presencia,Presencia,Ausencia,Presencia,21000.0,7200.0,1.19,3.4,4.6,0.52,0.48,3.5,30.0,6.0,0.1,0.005,0.001,11.02,0.15,29.0,Extremadamente deteriorada
Río Lujan y Canal San Fernando,2023-05-10,otoño,18.0,15.0,5.88,7.16,Ausencia,Ausencia,Ausencia,Presencia,4.0,600.0,930.0,4.3,0.75,0.21,0.2,2.0,30.0,50.0,0.1,0.005,1.0,1.28,0.15,35.0,Extremadamente deteriorada
Río Lujan y Canal San Fernando,2023-08-23,invierno,15.5,10.0,3.1,7.07,Ausencia,Presencia,Ausencia,Presencia,9000.0,4400.0,920.0,20.2,5.5,1.0,0.6,4.0,30.0,17.0,0.1,0.005,0.001,3.99,0.15,33.0,Extremadamente deteriorada
Río Lujan y Canal San Fernando,2023-11-14,primavera,23.0,24.0,1.95,6.65,Ausencia,Ausencia,Ausencia,Presencia,7000.0,2000.0,1600.0,2.9,0.71,0.44,0.2,4.6,80.0,3.1,0.1,0.005,0.001,12.7,0.15,34.0,Extremadamente deteriorada
Río Capitán y Río San Antonio,2023-02-22,Verano,28.5,29.0,6.7,7.04,Ausencia,Ausencia,Ausencia,Ausencia,800.0,120.0,110.0,2.8,0.05,0.1,0.1,2.0,30.0,28.0,0.1,0.005,0.001,0.1,0.15,62.0,Muy deteriorada 
Río Capitán y Río San Antonio,2023-05-10,otoño,19.0,14.0,8.09,7.3,Ausencia,Ausencia,Ausencia,Ausencia,29.0,400.0,300.0,3.1,0.06,0.1,0.1,2.0,30.0,70.0,0.1,0.005,1.0,0.35,0.15,43.0,Extremadamente deteriorada
Río Capitán y Río San Antonio,2023-08-23,invierno,15.8,10.0,8.72,7.39,Ausencia,Ausencia,Ausencia,Presencia,8800.0,1620.0,220.0,2.7,0.1,0.59,0.2,2.0,32.0,39.0,0.1,0.005,0.001,0.42,0.15,44.0,Extremadamente deteriorada
Río Capitán y Río San Antonio,2023-11-14,primavera,21.0,24.0,4.15,6.61,Ausencia,Ausencia,Ausencia,Ausencia,400.0,200.0,360.0,2.0,0.6,0.1,0.2,2.0,30.0,33.0,0.1,0.005,0.001,10.0,0.15,38.0,Extremadamente deteriorada
Arroyo Abra Vieja y Santa Rosa,2023-02-22,Verano,28.0,29.0,5.19,6.91,Ausencia,Ausencia,Ausencia,Presencia,1200.0,350.0,550.0,2.1,0.23,0.23,0.12,2.0,30.0,45.0,0.1,0.006,0.001,25.58,0.15,37.0,Extremadamente deteriorada
Arroyo Abra Vieja y Santa Rosa,2023-05-10,otoño,18.0,14.0,7.82,7.08,Ausencia,Ausencia,Ausencia,Ausencia,235.0,220.0,140.0,2.0,0.07,0.1,0.1,2.0,30.0,65.0,0.1,0.0051,1.0,0.91,0.15,40.0,Extremadamente deteriorada
Arroyo Abra Vieja y Santa Rosa,2023-08-23,invierno,13.5,10.0,7.74,7.11,Ausencia,Ausencia,Ausencia,Ausencia,170.0,150.0,170.0,2.5,0.25,0.14,0.2,2.0,41.0,39.0,0.1,0.005,0.001,0.59,0.15,59.0,Muy deteriorada
Arroyo Abra Vieja y Santa Rosa,2023-11-14,primavera,21.0,24.0,2.94,6.5,Ausencia,Ausencia,Ausencia,Presencia,300.0,260.0,400.0,2.0,0.47,0.13,0.2,2.0,59.0,23.0,0.1,0.005,0.001,10.0,0.15,38.0,Extremadamente deteriorada
Del Arca,2023-02-22,Verano,26.0,14.0,5.65,7.24,Ausencia,Ausencia,Ausencia,Presencia,15000.0,4700.0,920.0,5.1,1.2,0.26,0.23,2.1,30.0,21.0,0.1,0.005,0.001,0.1,2.61,35.0,Extremadamente deteriorada
Del Arca,2023-05-10,otoño,19.0,20.0,5.85,7.32,Ausencia,Ausencia,Ausencia,Ausencia,5000.0,1400.0,300.0,6.2,0.62,0.21,0.2,2.0,30.0,40.0,0.1,0.005,1.0,2.79,0.15,35.0,Extremadamente deteriorada
Del Arca,2023-08-23,invierno,16.0,13.0,5.4,7.395,Ausencia,Ausencia,Ausencia,Ausencia,3000.0,2700.0,500.0,13.9,10.0,0.95,0.37,2.0,30.0,19.0,0.1,0.005,0.001,3.85,0.15,39.0,Extremadamente deteriorada
Del Arca,2023-11-14,primavera,16.0,13.0,5.4,7.05,Ausencia,Ausencia,Ausencia,Ausencia,62000.0,5800.0,2480.0,2.6,1.7,0.3,0.2,3.4,30.0,12.0,0.1,0.005,0.001,10.0,0.15,28.0,Extremadamente deteriorada
Espigón La Farola,2023-02-22,Verano,25.25,25.0,6.27,7.24,,,,,2000.0,875.0,120.0,4.3,0.47,0.415,0.23,3.75,30.0,27.0,0.1,0.005,0.001,11.81,0.41,37.5,
Espigón La Farola,2023-05-10,otoño,18.0,15.0,6.08,7.32,,,,,29.0,400.0,300.0,6.7,0.73,0.21,0.19,2.0,30.0,32.0,0.1,0.005,1.0,2.72,0.15,36.0,
Espigón La Farola,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Espigón La Farola,2023-11-14,primavera,22.0,22.0,4.975,7.05,,,,,1550.0,850.0,405.0,3.1,0.96,0.24,0.2,3.4,30.0,18.0,0.1,0.005,0.001,10.0,0.15,37.0,
Reserva Ecológica,2023-02-22,Verano,28.0,27.0,6.5,6.0,Ausencia,Ausencia,Ausencia,Ausencia,1700.0,1000.0,60.0,4.3,0.51,0.46,0.19,3.1,52.0,20.0,0.1,0.005,0.001,11.81,0.15,37.0,Extremadamente deteriorada
Reserva Ecológica,2023-05-10,otoño,18.0,21.0,6.32,7.32,Ausencia,Ausencia,Ausencia,Ausencia,1.3,600.0,130.0,5.3,0.77,0.15,0.14,2.0,30.0,23.0,0.1,0.005,1.0,7.4,0.15,35.0,Extremadamente deteriorada
Reserva Ecológica,2023-08-23,invierno,13.7,14.0,7.64,7.395,Ausencia,Ausencia,Ausencia,Ausencia,2900.0,2300.0,1400.0,8.6,1.0,0.58,0.28,2.0,30.0,20.0,0.1,0.005,0.001,3.11,0.15,40.0,Extremadamente deteriorada
Reserva Ecológica,2023-11-14,primavera,22.0,23.0,5.61,7.05,Ausencia,Ausencia,Ausencia,Ausencia,400.0,400.0,300.0,3.1,0.27,0.19,0.2,2.0,30.0,14.0,0.1,0.005,0.001,10.0,0.15,41.0,Extremadamente deteriorada
Playa Espigón de Pacheco,2023-02-22,Verano,28.7,30.0,8.53,6.95,Ausencia,Ausencia,Ausencia,Ausencia,5200.0,4500.0,110.0,5.5,0.5,0.3,0.28,2.5,30.0,24.0,0.1,0.005,0.001,6.7,0.99,40.0,Extremadamente deteriorada
Playa Espigón de Pacheco,2023-05-10,otoño,18.0,22.0,5.16,7.32,Ausencia,Ausencia,Ausencia,Ausencia,5800.0,4200.0,500.0,6.9,0.94,0.2,0.19,2.0,30.0,13.0,0.1,0.005,1.0,6.4,0.15,35.0,Extremadamente deteriorada
Playa Espigón de Pacheco,2023-08-23,invierno,13.7,14.0,6.66,7.395,Ausencia,Ausencia,Ausencia,Ausencia,3300.0,2300.0,1500.0,39.4,8.5,1.5,0.61,4.3,30.0,4.0,0.1,0.005,0.001,0.94,0.15,40.0,Extremadamente deteriorada
Playa Espigón de Pacheco,2023-11-14,primavera,24.0,23.0,6.69,7.05,Ausencia,Ausencia,Ausencia,Ausencia,500.0,500.0,200.0,5.0,0.6,0.19,0.2,2.0,30.0,18.0,0.1,0.005,0.001,10.0,0.15,39.0,Extremadamente deteriorada
Perú Puente,2023-02-22,Verano,25.25,25.0,6.27,7.24,,,,,2000.0,875.0,120.0,4.3,0.47,0.415,0.23,3.75,30.0,27.0,0.1,0.005,0.001,11.81,0.41,37.5,
Perú Puente,2023-05-10,otoño,20.0,22.0,3.24,7.32,Ausencia,Ausencia,Ausencia,Ausencia,24.0,19000.0,5000.0,20.0,2.9,0.43,0.33,3.1,30.0,3.5,0.1,0.005,1.0,1.31,0.15,32.0,Extremadamente deteriorada
Perú Puente,2023-08-23,invierno,17.5,14.0,6.37,7.395,Ausencia,Ausencia,Ausencia,Ausencia,150000.0,65000.0,18000.0,12.7,1.4,0.29,0.28,2.8,30.0,21.0,0.1,0.005,0.001,2.83,0.15,35.0,Extremadamente deteriorada
Perú Puente,2023-11-14,primavera,23.0,23.0,4.86,7.05,Ausencia,Ausencia,Ausencia,Ausencia,28000.0,20000.0,10000.0,14.4,2.1,0.36,0.2,2.7,30.0,6.2,0.1,0.005,0.001,10.0,0.15,32.0,Extremadamente deteriorada
Reserva Barrio El Ceibo,2023-02-22,Verano,25.9,28.0,8.27,7.24,Ausencia,Ausencia,Ausencia,Presencia,7600.0,1400.0,1.5,10.1,0.75,0.52,0.36,4.1,30.0,16.0,0.1,0.005,0.001,11.81,0.27,34.0,Extremadamente deteriorada
Reserva Barrio El Ceibo,2023-05-10,otoño,18.0,16.0,6.6,6.73,Ausencia,Ausencia,Ausencia,Ausencia,3.4,3.4,800.0,8.7,0.93,0.22,0.21,2.0,30.0,14.0,0.1,0.005,1.0,2.72,0.15,37.0,Extremadamente deteriorada
Reserva Barrio El Ceibo,2023-08-23,invierno,13.8,11.5,8.15,6.82,Presencia,Ausencia,Ausencia,Ausencia,20000.0,3000.0,800.0,16.9,1.2,1.2,0.35,2.8,30.0,12.0,0.1,0.005,0.001,0.45,0.15,38.0,Extremadamente deteriorada
Reserva Barrio El Ceibo,2023-11-14,primavera,23.0,22.0,6.95,6.64,Ausencia,Ausencia,Ausencia,Presencia,3000.0,2000.0,900.0,5.8,0.77,0.2,0.2,2.1,30.0,13.0,0.1,0.005,0.001,10.0,0.15,37.0,Extremadamente deteriorada
Puerto de Olivos Espigón,2023-02-22,Verano,25.5,28.0,6.79,6.6,Ausencia,Ausencia,Ausencia,Presencia,2000.0,1200.0,320.0,7.3,0.44,0.27,0.23,3.0,57.0,15.0,0.1,0.005,0.001,11.81,0.18,36.0,Extremadamente deteriorada
Puerto de Olivos Espigón,2023-05-10,otoño,18.0,15.0,5.2,6.74,Ausencia,Ausencia,Ausencia,Ausencia,4.2,4.0,100.0,8.8,1.0,0.21,0.2,2.0,30.0,12.0,0.1,0.005,1.0,0.1,0.15,37.0,Extremadamente deteriorada
Puerto de Olivos Espigón,2023-08-23,invierno,14.3,11.3,5.58,6.53,Ausencia,Ausencia,Ausencia,Presencia,13200.0,9800.0,3000.0,16.0,1.5,0.55,0.31,2.8,30.0,15.0,0.1,0.005,0.001,1.06,0.15,37.0,Extremadamente deteriorada
Puerto de Olivos Espigón,2023-11-14,primavera,23.0,22.0,4.88,7.06,Ausencia,Ausencia,Ausencia,Presencia,22000.0,14000.0,16000.0,5.3,1.3,0.22,0.2,2.3,30.0,6.1,0.1,0.005,0.001,10.0,0.15,33.0,Extremadamente deteriorada
Costa y Melo,2023-02-22,Verano,24.0,28.0,7.41,6.58,Ausencia,Ausencia,Ausencia,Presencia,7000.0,1600.0,300.0,5.4,0.92,0.41,0.24,4.9,30.0,14.0,0.1,0.033,0.001,11.81,0.41,34.0,Extremadamente deteriorada
Costa y Melo,2023-05-10,otoño,17.0,15.0,5.57,6.85,Ausencia,Ausencia,Ausencia,Ausencia,6.8,3.7,50.0,9.3,0.89,0.22,0.21,2.0,30.0,14.0,0.1,0.005,1.0,3.3,0.15,36.0,Extremadamente deteriorada
Costa y Melo,2023-08-23,invierno,13.1,11.3,5.14,6.74,Ausencia,Ausencia,Ausencia,Ausencia,38000.0,11000.0,3500.0,16.7,1.9,0.77,0.36,4.0,30.0,15.0,0.1,0.005,0.001,0.45,0.15,38.0,Extremadamente deteriorada
Costa y Melo,2023-11-14,primavera,24.0,22.0,5.07,6.5,Ausencia,Ausencia,Ausencia,Presencia,11000.0,11000.0,3000.0,4.2,1.8,0.25,0.2,3.8,30.0,18.0,0.1,0.005,0.001,10.0,0.15,36.0,Extremadamente deteriorada
Parque de los Niños,2023-02-22,Verano,27.8,25.0,8.0,7.7,Ausencia,Ausencia,Ausencia,Ausencia,1100.0,1100.0,400.0,44.0,0.4,0.35,0.29,7.0,50.0,33.0,0.1,0.005,0.001,0.1,0.27,49.0,Muy deteriorada 
Parque de los Niños,2023-05-10,otoño,19.0,19.0,2.2,7.5,Ausencia,Ausencia,Ausencia,Ausencia,200.0,140.0,180.0,44.0,4.0,0.21,0.2,9.0,50.0,17.0,0.1,0.0055,1.0,0.36,0.15,33.0,Extremadamente deteriorada
Parque de los Niños,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Parque de los Niños,2023-11-14,primavera,22.0,22.0,4.975,7.05,,,,,1550.0,850.0,405.0,3.1,0.96,0.24,0.2,3.4,30.0,18.0,0.1,0.005,0.001,10.0,0.15,37.0,
Costanera Norte - Espigón Abanico,2023-02-22,Verano,25.2,25.0,6.4,7.3,Ausencia,Ausencia,Ausencia,Ausencia,1300.0,1300.0,780.0,44.0,0.6,0.35,0.21,5.0,50.0,50.0,0.1,0.005,0.001,0.1,0.15,38.0,Extremadamente deteriorada
Costanera Norte - Espigón Abanico,2023-05-10,otoño,18.0,18.0,6.2,7.3,Ausencia,Ausencia,Ausencia,Ausencia,29.0,21.0,760.0,44.0,2.0,0.12,0.11,5.0,50.0,21.0,0.1,0.005,1.0,0.1,0.15,35.0,Extremadamente deteriorada
Costanera Norte - Espigón Abanico,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Costanera Norte - Espigón Abanico,2023-11-14,primavera,22.0,22.0,4.975,7.05,,,,,1550.0,850.0,405.0,3.1,0.96,0.24,0.2,3.4,30.0,18.0,0.1,0.005,0.001,10.0,0.15,37.0,
Club de Pescadores,2023-02-22,Verano,26.4,25.0,7.9,7.7,Ausencia,Ausencia,Ausencia,Ausencia,1700.0,1600.0,480.0,44.0,0.1,0.45,0.17,6.0,50.0,65.0,0.1,0.005,0.001,20.82,0.41,40.0,Extremadamente deteriorada
Club de Pescadores,2023-05-10,otoño,18.0,18.0,7.6,7.4,Ausencia,Ausencia,Ausencia,Ausencia,19.0,19.0,5500.0,44.0,0.9,0.17,0.16,5.0,50.0,40.0,0.1,0.005,1.0,0.87,0.15,35.0,Extremadamente deteriorada
Club de Pescadores,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Club de Pescadores,2023-11-14,primavera,22.0,22.0,4.975,7.05,,,,,1550.0,850.0,405.0,3.1,0.96,0.24,0.2,3.4,30.0,18.0,0.1,0.005,0.001,10.0,0.15,37.0,
Reserva Ecológica Costanera Sur - Playita,2023-02-22,Verano,25.6,25.0,8.4,7.8,Ausencia,Ausencia,Ausencia,Ausencia,850.0,850.0,300.0,44.0,0.1,0.33,0.23,17.0,50.0,66.0,0.1,0.0075,0.001,2.23,0.15,45.0,Muy deteriorada 
Reserva Ecológica Costanera Sur - Playita,2023-05-10,otoño,18.0,18.0,7.6,7.3,Ausencia,Ausencia,Ausencia,Ausencia,4.1,4.1,760.0,44.0,0.5,0.16,0.15,7.0,50.0,68.0,0.1,0.005,1.0,0.1,0.15,39.0,Extremadamente deteriorada
Reserva Ecológica Costanera Sur - Playita,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
